               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10102,             0.19985,            0.070658,          0.00068054,            0.013321,          0.00039761,           0.0001126,             0.09489,             0.15426,            0.069669,            0.070189,           0.0033124,           0.0033124
                   1,            0.097182,             0.19241,            0.065763,             0.94271,           0.0032106,           0.0019718,          0.00054134,             0.09694,             0.17061,            0.067689,            0.040123,           0.0065799,           0.0065799
                   2,            0.093878,             0.18272,             0.06141,              0.5871,            0.026005,            0.010627,           0.0030963,            0.093117,             0.13211,            0.065197,           0.0099911,           0.0097815,           0.0097815
                   3,            0.088877,             0.18165,            0.057609,             0.48299,            0.035311,            0.019313,           0.0058487,            0.088776,             0.13542,            0.060911,            0.009703,            0.009703,            0.009703
                   4,            0.084738,             0.17955,            0.052978,             0.58675,            0.059058,            0.048406,             0.01815,            0.083539,             0.12971,            0.057357,            0.009703,            0.009703,            0.009703
                   5,            0.080982,              0.1777,            0.049961,             0.48251,            0.073125,            0.067613,            0.033434,            0.078006,             0.13069,            0.055255,            0.009604,            0.009604,            0.009604
                   6,            0.078352,             0.17183,            0.048563,               0.609,            0.089251,            0.078045,            0.031344,            0.075914,              0.1263,            0.054068,            0.009505,            0.009505,            0.009505
                   7,             0.07602,             0.17205,            0.046789,             0.60796,            0.090034,            0.081892,            0.042514,            0.074215,             0.12545,            0.053131,            0.009406,            0.009406,            0.009406
                   8,            0.074452,             0.17121,            0.045848,             0.59243,             0.13151,             0.11151,            0.051293,            0.075633,             0.12416,            0.052297,            0.009307,            0.009307,            0.009307
                   9,            0.073535,             0.17279,            0.045033,             0.58735,             0.11958,             0.10269,            0.053076,            0.072728,             0.12404,            0.050906,            0.009208,            0.009208,            0.009208
                  10,            0.072581,             0.17014,            0.044214,             0.64352,             0.15757,             0.15515,             0.08219,            0.072603,             0.12694,            0.049908,            0.009109,            0.009109,            0.009109
                  11,            0.072307,              0.1737,              0.0432,             0.59747,             0.12636,             0.11641,            0.060398,            0.071228,             0.12387,            0.049829,             0.00901,             0.00901,             0.00901
                  12,            0.071245,              0.1711,            0.042156,              0.6166,             0.11952,             0.11244,            0.055175,            0.070531,             0.12383,            0.048745,            0.008911,            0.008911,            0.008911
                  13,            0.070144,             0.16987,            0.041181,             0.65504,             0.17139,             0.17068,            0.079302,            0.072097,             0.12636,            0.049925,            0.008812,            0.008812,            0.008812
                  14,            0.069836,             0.16773,            0.040746,             0.63083,             0.16851,             0.15289,            0.081989,            0.069257,             0.12165,            0.047133,            0.008713,            0.008713,            0.008713
                  15,            0.069339,             0.16656,            0.040457,             0.61785,             0.14075,             0.12496,            0.061478,             0.06961,             0.12389,             0.04835,            0.008614,            0.008614,            0.008614
                  16,            0.069263,              0.1658,             0.03966,             0.74416,             0.15936,             0.17581,            0.086776,            0.069431,             0.12528,            0.048089,            0.008515,            0.008515,            0.008515
                  17,             0.06845,             0.16482,            0.039262,             0.66322,             0.15969,             0.15643,            0.083932,            0.069419,             0.12336,            0.047307,            0.008416,            0.008416,            0.008416
                  18,            0.068271,             0.16716,             0.03868,             0.63659,             0.18824,             0.17251,            0.093823,            0.068318,              0.1229,            0.046664,            0.008317,            0.008317,            0.008317
                  19,            0.067426,             0.16393,            0.038019,              0.6245,             0.13775,             0.12734,            0.062658,            0.069513,             0.12381,            0.046564,            0.008218,            0.008218,            0.008218
                  20,            0.067586,             0.16581,            0.038486,              0.6474,             0.18537,             0.17424,            0.090802,            0.068711,              0.1239,            0.046121,            0.008119,            0.008119,            0.008119
                  21,             0.06653,             0.16433,            0.037723,             0.64465,             0.15437,             0.14662,            0.071986,             0.06844,             0.12438,            0.045637,             0.00802,             0.00802,             0.00802
                  22,            0.066711,             0.16361,            0.037081,             0.67931,             0.18579,             0.18976,            0.094464,            0.069751,             0.12235,            0.045663,            0.007921,            0.007921,            0.007921
                  23,             0.06674,             0.16486,            0.036744,             0.52377,             0.17956,             0.17368,            0.087913,            0.068499,             0.12299,            0.045416,            0.007822,            0.007822,            0.007822
                  24,            0.065962,             0.16484,            0.036497,             0.66978,             0.20452,             0.20369,             0.10372,            0.067787,             0.12325,             0.04565,            0.007723,            0.007723,            0.007723
                  25,            0.066078,               0.161,            0.036701,              0.6379,             0.21233,             0.21596,             0.10752,            0.069042,             0.12232,            0.045306,            0.007624,            0.007624,            0.007624
                  26,             0.06593,             0.16599,            0.035903,             0.54383,              0.2345,             0.22217,             0.11636,            0.067848,             0.12392,            0.044976,            0.007525,            0.007525,            0.007525
                  27,            0.065389,             0.16151,            0.035526,             0.54418,             0.22914,             0.20278,             0.10344,            0.067098,             0.12299,            0.044149,            0.007426,            0.007426,            0.007426
                  28,            0.065141,             0.16297,            0.035202,             0.66624,              0.2084,             0.21724,             0.11201,            0.066892,             0.12364,            0.044681,            0.007327,            0.007327,            0.007327
                  29,             0.06501,             0.16139,            0.034889,             0.55599,             0.22799,             0.20496,             0.10349,            0.067629,             0.12319,            0.044823,            0.007228,            0.007228,            0.007228
                  30,            0.064852,             0.16215,            0.034931,             0.48895,             0.22632,             0.20595,             0.10603,            0.067561,             0.12319,            0.044048,            0.007129,            0.007129,            0.007129
                  31,            0.064577,             0.16206,            0.034704,             0.49827,             0.25178,             0.22964,             0.11812,            0.067353,             0.12308,            0.043581,             0.00703,             0.00703,             0.00703
                  32,            0.064614,              0.1625,            0.034154,             0.51468,             0.23781,             0.21897,             0.11414,            0.066792,             0.12165,             0.04271,            0.006931,            0.006931,            0.006931
                  33,            0.064048,             0.15998,            0.034095,              0.5814,             0.23233,             0.22799,             0.11435,              0.0671,             0.12434,            0.045882,            0.006832,            0.006832,            0.006832
                  34,            0.064238,             0.16139,            0.033377,             0.49928,             0.24723,             0.22658,             0.11916,            0.067179,             0.12406,            0.043994,            0.006733,            0.006733,            0.006733
                  35,            0.063915,             0.16147,            0.033612,             0.58397,             0.24088,             0.22834,             0.11697,            0.066991,             0.12399,             0.04371,            0.006634,            0.006634,            0.006634
